,erm_test_risk,erm_train_risk,reg_L2_test_risk,reg_L2_train_risk,test_risk,train_risk
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2400835007429123,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.2985386252403259,0.388308972120285
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2379958182573318,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
alpha=100000.0/batch_size=100/data=yeast/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.4272237122058868,0.4703504145145416,0.7196765542030334,0.7021563053131104,0.4973045885562897,0.526954174041748
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2320346385240554,0.0865800902247428,0.1567099541425705,0.0580086596310138,0.2164502143859863,0.0571428574621677
alpha=100000.0/batch_size=100/data=yeast/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.4272237122058868,0.4703504145145416,0.6873315572738647,0.6927223801612854,0.5040431022644043,0.5242587327957153
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2320346385240554,0.0865800902247428,0.1766233742237091,0.0753246769309043,0.3861471712589264,0.1636363565921783
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.2029841393232345,0.1436120569705963,0.2001865059137344,0.144233763217926
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.2004973590373993,0.1383276283740997,0.2011190503835678,0.1383276283740997
alpha=100000.0/batch_size=100/data=pendigits/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.0640465766191482,0.0518558956682682,0.0571324601769447,0.0465793311595916,0.0613173209130764,0.0500363893806934
alpha=100000.0/batch_size=100/data=phishing/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.066763162612915,0.0636873543262481,0.0616971217095851,0.0573548041284084,0.0692961812019348,0.0654966533184051
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0,0.0,0.0007385524222627,0.0007385524222627
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0007385524222627,0.000984736601822,0.0007385524222627,0.0007385524222627
alpha=100000.0/batch_size=100/data=pendigits/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.0762372612953186,0.0676855891942977,0.0598617158830165,0.049126636236906,0.0591339170932769,0.049126636236906
alpha=100000.0/batch_size=100/data=phishing/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.066763162612915,0.0636873543262481,0.0654966533184051,0.0626017749309539,0.0669440925121307,0.0633254945278167
alpha=100000.0/batch_size=100/data=nursery/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.8066357970237732,0.7939814925193787,0.8043209910392761,0.7956790328025818,0.7734568119049072,0.75956791639328
alpha=100000.0/batch_size=100/data=nursery/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.8066357970237732,0.7939814925193787,0.7992283701896667,0.7884259223937988,0.772685170173645,0.7655864357948303
alpha=100000.0/batch_size=100/data=adult/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.1673521697521209,0.1663349717855453,0.2476228326559066,0.24806509912014,0.1666003316640854,0.1654946655035019
alpha=100000.0/batch_size=100/data=letter/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2967999875545501,0.2867999970912933,0.2962999939918518,0.2847000062465668,0.2962999939918518,0.2865000069141388
alpha=100000.0/batch_size=100/data=letter/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.2967999875545501,0.2867999970912933,0.2951000034809112,0.2851000130176544,0.2966000139713287,0.2847000062465668
alpha=100000.0/batch_size=100/data=adult/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.1673521697521209,0.1663349717855453,0.2071558088064193,0.206846222281456,0.166423425078392,0.1654504388570785
alpha=100000.0/batch_size=100/data=sensorless/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.1366992592811584,0.1348533481359481,0.9110206961631776,0.9071580171585084,0.1290421783924102,0.1285977959632873
alpha=100000.0/batch_size=100/data=fashionmnist/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.1531142890453338,0.1388571411371231,0.150028571486473,0.1266571432352066,0.1482571363449096,0.1258571445941925
alpha=100000.0/batch_size=100/data=sensorless/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.1357763111591339,0.1343064159154892,0.9110206961631776,0.9071580171585084,0.1310248225927353,0.1313324719667434
alpha=100000.0/batch_size=100/data=mnist/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.091228574514389,0.0654857158660888,0.0921142846345901,0.0662857145071029,0.0920571461319923,0.0663999989628791
alpha=100000.0/batch_size=100/data=fashionmnist/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.149314284324646,0.1411714255809784,0.1486571431159973,0.1409428566694259,0.1508571356534958,0.1283428519964218
alpha=100000.0/batch_size=100/data=mnist/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.2/seed=0/width_size=-1,0.0923999994993209,0.0667999982833862,0.0919142886996269,0.067085713148117,0.2158571481704712,0.1999714225530624
alpha=100000.0/batch_size=100/data=letter/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.2969000041484833,0.2861000001430511,0.2962999939918518,0.2847000062465668,0.2949999868869781,0.2861999869346618
alpha=100000.0/batch_size=100/data=letter/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.2969000041484833,0.2861000001430511,0.2951000034809112,0.2851000130176544,0.2958000004291534,0.2858000099658966
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0007385524222627,0.0012309207813814,0.0007385524222627,0.0012309207813814
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0,0.0,0.0,0.0
alpha=100000.0/batch_size=100/data=adult/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.1673521697521209,0.1663349717855453,0.2476228326559066,0.24806509912014,0.2476228326559066,0.24806509912014
alpha=100000.0/batch_size=100/data=adult/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.1673521697521209,0.1663349717855453,0.2071558088064193,0.206846222281456,0.2071558088064193,0.206846222281456
alpha=100000.0/batch_size=100/data=nursery/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.8066357970237732,0.7939814925193787,0.7992283701896667,0.7884259223937988,0.7992283701896667,0.7884259223937988
alpha=100000.0/batch_size=100/data=nursery/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.8066357970237732,0.7939814925193787,0.8043209910392761,0.7956790328025818,0.8043209910392761,0.7956790328025818
alpha=100000.0/batch_size=100/data=pendigits/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.0762372612953186,0.0676855891942977,0.0598617158830165,0.049126636236906,0.0598617158830165,0.049126636236906
alpha=100000.0/batch_size=100/data=pendigits/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.0762372612953186,0.0676855891942977,0.0571324601769447,0.0465793311595916,0.0571324601769447,0.0465793311595916
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.2320346385240554,0.0865800902247428,0.1567099541425705,0.0580086596310138,0.1506493538618087,0.0528138540685176
alpha=100000.0/batch_size=100/data=phishing/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.066763162612915,0.0636873543262481,0.0654966533184051,0.0626017749309539,0.0654966533184051,0.0626017749309539
alpha=100000.0/batch_size=100/data=phishing/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.066763162612915,0.0636873543262481,0.0616971217095851,0.0573548041284084,0.0616971217095851,0.0573548041284084
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.2320346385240554,0.0865800902247428,0.1766233742237091,0.0753246769309043,0.1757575720548629,0.0787878781557083
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.2029841393232345,0.1436120569705963,0.202362447977066,0.1420578211545944
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.1986322700977325,0.1352191418409347,0.199253961443901,0.1364625394344329
alpha=100000.0/batch_size=100/data=sensorless/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.1357763111591339,0.1343064159154892,0.9110206961631776,0.9071580171585084,0.9110206961631776,0.9071580171585084
alpha=100000.0/batch_size=100/data=sensorless/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.1366992592811584,0.1348533481359481,0.9110206961631776,0.9071580171585084,0.9110206961631776,0.9071580171585084
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.2379958182573318,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.2400835007429123,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.2320346385240554,0.0865800902247428,0.1766233742237091,0.0753246769309043,0.3818181753158569,0.1766233742237091
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.2320346385240554,0.0865800902247428,0.1567099541425705,0.0580086596310138,0.2121212184429168,0.0580086596310138
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.2320346385240554,0.0805194824934005,0.1766233742237091,0.0753246769309043,0.2043289989233017,0.0580086596310138
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0007385524222627,0.000984736601822,0.0007385524222627,0.0007385524222627
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.2320346385240554,0.0865800902247428,0.1567099541425705,0.0580086596310138,0.214718610048294,0.0580086596310138
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.2379958182573318,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.2901878952980041,0.3778705596923828
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0,0.0,0.0007385524222627,0.0007385524222627
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.2400835007429123,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.8/seed=0/width_size=-1,0.2320346385240554,0.0805194824934005,0.1567099541425705,0.0580086596310138,0.2121212184429168,0.0528138540685176
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.8/seed=0/width_size=-1,0.2320346385240554,0.0805194824934005,0.1766233742237091,0.0753246769309043,0.2043289989233017,0.0519480518996715
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.2379958182573318,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.2020515948534011,0.1433012187480926,0.7727696895599365,0.5645011067390442
alpha=100000.0/batch_size=100/data=yeast/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.4272237122058868,0.4703504145145416,0.6873315572738647,0.6927223801612854,0.6873315572738647,0.6927223801612854
alpha=100000.0/batch_size=100/data=yeast/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.4272237122058868,0.4703504145145416,0.7196765542030334,0.7021563053131104,0.7196765542030334,0.7021563053131104
alpha=100000.0/batch_size=100/data=satimage/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.2092011123895645,0.1479639410972595,0.1986322700977325,0.1352191418409347,0.1998756676912307,0.1373950839042663
alpha=100000.0/batch_size=100/data=nursery/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.8066357970237732,0.7939814925193787,0.7992283701896667,0.7884259223937988,0.7780864238739014,0.75956791639328
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=1.0/seed=0/width_size=-1,0.2320346385240554,0.0805194824934005,0.1567099541425705,0.0580086596310138,0.2095238119363784,0.0545454546809196
alpha=100000.0/batch_size=100/data=nursery/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.8066357970237732,0.7939814925193787,0.8043209910392761,0.7956790328025818,0.7811728119850159,0.7689814567565918
alpha=100000.0/batch_size=100/data=segmentation/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=1.0/seed=0/width_size=-1,0.2320346385240554,0.0805194824934005,0.1766233742237091,0.0753246769309043,0.2121212184429168,0.0545454546809196
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0007385524222627,0.000984736601822,0.0007385524222627,0.0007385524222627
alpha=100000.0/batch_size=100/data=letter/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.2969000041484833,0.2861000001430511,0.2951000034809112,0.2851000130176544,0.2960000038146972,0.2845999896526336
alpha=100000.0/batch_size=100/data=letter/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.2969000041484833,0.2861000001430511,0.2962999939918518,0.2847000062465668,0.2969000041484833,0.2856999933719635
alpha=100000.0/batch_size=100/data=pendigits/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.0762372612953186,0.0676855891942977,0.0598617158830165,0.049126636236906,0.0613173209130764,0.0500363893806934
alpha=100000.0/batch_size=100/data=pendigits/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.0762372612953186,0.0676855891942977,0.0567685589194297,0.0469432324171066,0.0611353702843189,0.047852985560894
alpha=100000.0/batch_size=100/data=mnist/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.091228574514389,0.0654857158660888,0.2545428574085235,0.2439142912626266,0.0921142846345901,0.0671714320778846
alpha=100000.0/batch_size=100/data=mnist/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.0/seed=0/width_size=-1,0.091228574514389,0.0654857158660888,0.0929428562521934,0.0669142827391624,0.0939714312553405,0.0687428563833236
alpha=100000.0/batch_size=100/data=mushrooms/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.0007385524222627,0.0007385524222627,0.0,0.0,0.0007385524222627,0.0007385524222627
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.6/seed=0/width_size=-1,0.2379958182573318,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
alpha=100000.0/batch_size=100/data=phishing/depth_size=-1/epsilon=m/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.066763162612915,0.0636873543262481,0.0654966533184051,0.0626017749309539,0.0669440925121307,0.0624208413064479
alpha=100000.0/batch_size=100/data=phishing/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.4/seed=0/width_size=-1,0.066763162612915,0.0636873543262481,0.0616971217095851,0.0573548041284084,0.0683915317058563,0.0653157234191894
alpha=100000.0/batch_size=100/data=tictactoe/depth_size=-1/epsilon=sqrtm/iter_post_size=20000/iter_prior_size=20000/model_name=LinearModel/ratio_set_size=0.8/seed=0/width_size=-1,0.2400835007429123,0.2275574058294296,0.0208768267184495,0.0125260958448052,0.0208768267184495,0.0125260958448052
